"Committee Name","Name","Congresses","committee_type"
"Select Aging","CROCKETT, George William, Jr.","97th (1981–1983) – 101st (1989–1991)","House Select Committees"
"Select Aging","LEWIS, John R.","101st (1989–1991) – 102nd (1991–1993)","House Select Committees"
"Select Aging","FRANKS, Gary A.","102nd (1991–1993)","House Select Committees"
"Select Committee on Assassinations","BURKE, Yvonne Brathwaite","94th (1975–1977) – 95th (1977–1979)","House Select Committees"
"Select Committee on Assassinations","FAUNTROY, Walter Edward","94th (1975–1977) – 95th (1977–1979)","House Select Committees"
"Select Committee on Assassinations","FORD, Harold Eugene","94th (1975–1977) – 95th (1977–1979)","House Select Committees"
"Select Committee on Assassinations","STOKES, Louis","94th (1975–1977) – 95th (1977–1979)","House Select Committees"
"Select Committee on Centennial Celebration and the Proposed National Census of 1875","RAINEY, Joseph Hayne","44th (1875–1877)","House Select Committees"
"Select Committee on Children, Youth, and Families","LELAND, George Thomas (Mickey)","98th (1983–1985)","House Select Committees"
"Select Committee on Children, Youth, and Families","WHEAT, Alan Dupree","98th (1983–1985) – 102nd (1991–1993)","House Select Committees"
"Select Committee on Children, Youth, and Families","FLAKE, Floyd Harold","100th (1987–1989)","House Select Committees"
"Select Committee on Children, Youth, and Families","COLLINS, Barbara-Rose","102nd (1991–1993)","House Select Committees"
"Select Committee on Committees II","CLAY, William Lacy, Sr.","96th (1979–1981)","House Select Committees"
"Select Committee on Crime","NIX, Robert Nelson Cornelius, Sr.","91st (1969–1971)","House Select Committees"
"Select Committee on Crime","RANGEL, Charles B.","92nd (1971–1973) – 93rd (1973–1975)","House Select Committees"
"Select Committee on Energy Independence and Global Warming","CLEAVER, Emanuel, II","110th (2007–2009) – 111th (2009–2011)","House Select Committees"
"Select Committee on Homeland Security","CHRISTENSEN, Donna Marie","108th (2003–2005)","House Select Committees"
"Select Committee on Homeland Security","JACKSON LEE, Sheila","108th (2003–2005)","House Select Committees"
"Select Committee on Homeland Security","MEEK, Kendrick B.","108th (2003–2005)","House Select Committees"
"Select Committee on Homeland Security","NORTON, Eleanor Holmes","108th (2003–2005)","House Select Committees"
"Select Committee on Homeland Security","THOMPSON, Bennie","108th (2003–2005)","House Select Committees"
"Select Committee on Hunger","LELAND, George Thomas (Mickey)","98th (1983–1985) – 101st (1989–1991)","House Select Committees"
"Select Committee on Hunger","FLAKE, Floyd Harold","100th (1987–1989) – 102nd (1991–1993)","House Select Committees"
"Select Committee on Hunger","MFUME, Kweisi","100th (1987–1989)","House Select Committees"
"Select Committee on Hunger","ESPY, Alphonso Michael (Mike)","101st (1989–1991) – 102nd (1991–1993)","House Select Committees"
"Select Committee on Hunger","WHEAT, Alan Dupree","101st (1989–1991) – 102nd (1991–1993)","House Select Committees"
"Select Committee on Intelligence","DELLUMS, Ronald V.","94th (1975–1977)","House Select Committees"
"Select Committee on Narcotics Abuse and Control","RANGEL, Charles B.","94th (1975–1977) – 102nd (1991–1993)","House Select Committees"
"Select Committee on Narcotics Abuse and Control","COLLINS, Cardiss","96th (1979–1981) – 102nd (1991–1993)","House Select Committees"
"Select Committee on Narcotics Abuse and Control","FAUNTROY, Walter Edward","98th (1983–1985) – 101st (1989–1991)","House Select Committees"
"Select Committee on Narcotics Abuse and Control","TOWNS, Edolphus","98th (1983–1985) – 102nd (1991–1993)","House Select Committees"
"Select Committee on Narcotics Abuse and Control","MFUME, Kweisi","101st (1989–1991) – 102nd (1991–1993)","House Select Committees"
"Select Committee on Narcotics Abuse and Control","PAYNE, Donald Milford","102nd (1991–1993)","House Select Committees"
"Select Committee on Narcotics Abuse and Control","WASHINGTON, Craig Anthony","102nd (1991–1993)","House Select Committees"
"Select Committee on Population","COLLINS, Cardiss","95th (1977–1979)","House Select Committees"
"Select Committee on Standards of Official Conduct","NIX, Robert Nelson Cornelius, Sr.","89th (1965–1967)","House Select Committees"
"Select Committee on the Climate Crisis","MCEACHIN, Aston Donald","116th (2019–2021)","House Select Committees"
"Select Committee on the Climate Crisis","NEGUSE, Joseph","116th (2019–2021)","House Select Committees"
"Select Committee on the Events Surrounding the 2012 Terrorist Attack in Benghazi","CUMMINGS, Elijah Eugene","113th (2013–2015) – 114th (2015–2017)","House Select Committees"
"Select Committee on the House Beauty Shop","BURKE, Yvonne Brathwaite","94th (1975–1977) – 95th (1977–1979)","House Select Committees"
"Select Committee on the Modernization of Congress","CLEAVER, Emanuel, II","116th (2019–2021)","House Select Committees"
"Select Committee on U.S. National Security and Military/Commercial Concerns with the People's Republic of China","SCOTT, Robert C.","105th (1997–1999) – 106th (1999–2001)","House Select Committees"
"Select Committee to Investigate Covert Arms Transactions with Iran","STOKES, Louis","100th (1987–1989)","House Select Committees"
"Select Committee to Investigate the Voting Irregularities of August 2, 2007","DAVIS, Artur","110th (2007–2009)","House Select Committees"
"Select Small Business","MITCHELL, Parren James","92nd (1971–1973) – 93rd (1973–1975)","House Select Committees"
"Joint Committee on Bicentennial Arrangements","BROOKE, Edward William, III","94th (1975–1977)","Joint Committees"
"Joint Committee on Defense Production","BROOKE, Edward William, III","94th (1975–1977) – 95th (1977–1979)","Joint Committees"
"Joint Committee on Defense Production","MITCHELL, Parren James","94th (1975–1977) – 95th (1977–1979)","Joint Committees"
"Joint Committee on Deficit Reduction","ESPY, Alphonso Michael (Mike)","100th (1987–1989)","Joint Committees"
"Joint Committee on Deficit Reduction","GRAY, William Herbert, III","100th (1987–1989)","Joint Committees"
"Joint Committee on Printing","HAWKINS, Augustus Freeman (Gus)","95th (1977–1979) – 98th (1983–1985)","Joint Committees"
"Joint Committee on Printing","JEFFERSON, William Jennings","104th (1995–1997)","Joint Committees"
"Joint Committee on Printing","FATTAH, Chaka","106th (1999–2001) – 107th (2001–2003)","Joint Committees"
"Joint Committee on Printing","MILLENDER-MCDONALD, Juanita","109th (2005–2007) – 110th (2007–2009)","Joint Committees"
"Joint Committee on Taxation","RANGEL, Charles B.","104th (1995–1997) – 105th (1997–1999); 108th (2003–2005); 111th (2009–2011)","Joint Committees"
"Joint Committee on Taxation","LEWIS, John R.","116th (2019–2021)","Joint Committees"
"Joint Committee on the Library","HAWKINS, Augustus Freeman (Gus)","97th (1981–1983) – 98th (1983–1985)","Joint Committees"
"Joint Committee on the Library","CLAY, William Lacy, Sr.","101st (1989–1991)","Joint Committees"
"Joint Committee on the Library","KILPATRICK, Carolyn Cheeks","105th (1997–1999)","Joint Committees"
"Joint Committee on the Library","MILLENDER-MCDONALD, Juanita","108th (2003–2005) – 110th (2007–2009)","Joint Committees"
"Joint Committee on the Organization of Congress","NORTON, Eleanor Holmes","102nd (1991–1993) – 103rd (1993–1995)","Joint Committees"
"Joint Economic Committee","MITCHELL, Parren James","95th (1977–1979) – 99th (1985–1987)","Joint Committees"
"Joint Economic Committee","HAWKINS, Augustus Freeman (Gus)","97th (1981–1983) – 101st (1989–1991)","Joint Committees"
"Joint Economic Committee","MFUME, Kweisi","102nd (1991–1993) – 104th (1995–1997)","Joint Committees"
"Joint Economic Committee","WATT, Melvin L.","107th (2001–2003) – 108th (2003–2005)","Joint Committees"
"Joint Economic Committee","CUMMINGS, Elijah Eugene","113th (2013–2015) – 114th (2015–2017)","Joint Committees"
